iteration,mean_speedup,geo_mean_speedup,min_speedup,max_speedup,queries_improved,total_queries
1,1.0936130229015124,1.085932666451697,0.9529472991382344,1.783222497745717,98,109
2,1.1132379670049009,1.0744730636383433,0.804823880491923,6.21196794908223,87,109
3,1.0929673771786317,1.0794732611603528,0.8456695820355602,2.0863834392430003,87,109
4,1.101171084882001,1.0813700677550564,0.8357847341189019,2.909960713044873,86,109
5,1.0762301169209496,1.0638898049894085,0.7749807330292732,1.9964003731914832,83,109
6,1.07100090208585,1.061132598386126,0.8525941656330163,1.967143655193159,83,109
7,1.0770598359130945,1.0660726722824163,0.8037951232746908,2.0345285863981393,88,109
8,1.090503152106482,1.072990782261328,0.6819582133125285,2.416189186272642,87,109
9,1.0901746172434996,1.0761128249103424,0.8607323511688396,2.1682736061559145,88,109
10,1.1038566681006818,1.0878903077750728,0.7905048550444603,2.289098749125213,90,109
11,1.0698272522395316,1.0596183019913827,0.8509561646281582,1.9506411220890385,85,109
12,1.1104537624733863,1.0906152451076807,0.817830935767936,2.5021261772054584,88,109
13,1.11064356415201,1.093261378551434,0.8394364543422621,2.3813555766277577,87,109
14,1.0918899705424168,1.0793496085609615,0.8504123076250616,2.0519046298199437,88,109
15,1.4240669436102518,1.1569822754500132,0.9117835520661294,31.36407474382158,96,109
